id,name,category_id,sku,price,description,weight,dimensions,in_stock,reorder_level,supplier_id
13,External Hard Drive 2TB,3,HDD-EXT-2TB-013,427.53,"Reliable external hard drive with 2TB storage capacity. Features USB 3.0 connection for fast data transfer, automatic backup software, and shock-resistant design. Portable and compact for easy storage and transportation.",0.32,12x8x2 cm,,9,9
14,USB Hub 7-Port,8,HUB-USB-7PORT-014,454.39,"Compact 7-port USB 3.0 hub with individual on/off switches for each port. Supports high-speed data transfer up to 5Gbps. Includes power adapter and LED indicators. Compatible with Windows, Mac, and Linux.",0.15,20x8x3 cm,,22,10
15,Wireless Charging Pad,4,CHARGE-WIRE-PAD-015,299.16,"Fast wireless charging pad supporting Qi standard for all compatible devices. Features 10W fast charging, LED indicator, and non-slip surface. Compact design works with most phone cases. Includes USB-C power cable.",0.12,10x10x0.8 cm,,28,5
16,Desktop Cable Organizer Kit,8,ORG-CABLE-KIT-016,292.93,"Comprehensive cable management kit including clips, sleeves, and ties. Helps organize multiple cables on desk for cleaner workspace. Reusable silicone material with adhesive backing. Includes 20 pieces of various sizes.",0.08,25x15x2 cm,,30,8
17,Monitor Light Bar,2,LIGHT-MONITOR-BAR-017,191.11,"Premium monitor light bar that reduces eye strain and improves screen visibility. Features auto-brightness adjustment, flicker-free technology, and USB power connection. Mounts above monitor with adjustable brightness.",0.5,50x8x5 cm,,7,1
18,Laptop Cooling Pad,1,COOL-LAP-PAD-018,449.57,"Efficient laptop cooling pad with dual fans and adjustable height. Supports laptops up to 17 inches with non-slip surface. Features USB power connection, quiet operation, and aluminum construction for better heat dissipation.",0.95,40x30x5 cm,,13,3
19,Mechanical Keyboard Stabilizer Set,11,KB-STAB-SET-019,210.4,Premium stabilizer set for mechanical keyboards including multiple sizes. Provides smooth and consistent key presses for spacebar and modifier keys. Includes installation guide and lubricant for optimal performance.,0.05,12x8x2 cm,,20,7
20,USB-C Cable 3-Pack,12,CABLE-USB-C-3PK-020,341.04,High-quality USB-C cables in 3-pack with 2m length each. Supports fast charging and data transfer up to 480Mbps. Durable braided design with reinforced connectors. Compatible with all USB-C devices.,0.18,25x10x3 cm,,24,1
21,Desk Organizer with Drawers,6,ORG-DESK-DRAW-021,349.36,"Multi-drawer desk organizer made from sustainable wood. Features 5 spacious drawers for storing office supplies, documents, and accessories. Minimalist design with smooth drawer operation and sturdy construction.",2.1,35x25x30 cm,,5,4
22,Blue Light Blocking Glasses,7,GLASS-BLUE-BLOCK-022,354.58,Stylish blue light blocking glasses designed for computer users. Reduces eye strain and improves sleep quality. Features anti-glare coating and UV protection. Includes protective case and cleaning cloth.,0.03,14x5x4 cm,,19,2
23,Monitor Screen Cleaner Kit,6,CLEAN-SCREEN-KIT-023,427.12,"Safe and effective monitor screen cleaning kit. Includes microfiber cloth and specialized cleaning solution. Non-toxic formula suitable for all display types including LCD, LED, and OLED screens. Eco-friendly composition.",0.2,15x10x5 cm,,32,8
24,Mechanical Keyboard Keycap Set,3,KB-KEYCAP-SET-024,311.29,Premium double-shot keycap set with 120+ keys. Features vibrant colors with durable ABS plastic construction. Compatible with most mechanical keyboards with standard layout. Includes specialty keys and installation tool.,0.35,22x15x5 cm,,10,9
25,Portable Bluetooth Speaker,1,SPEAK-BT-PORT-025,97.2,"Compact portable Bluetooth speaker with 360-degree sound. Features 12-hour battery life, IPX7 waterproof rating, and powerful bass. Includes carrying strap and USB-C charging. Perfect for indoor and outdoor use.",0.65,15x15x18 cm,,11,7
